GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LMS,com.example.lms.model,Patron,0,46,0,0,0,20,0,10,0,10
LMS,com.example.lms.model,Book,0,56,0,0,0,21,0,11,0,11
LMS,com.example.lms.model,BookIssued,0,56,0,0,0,21,0,11,0,11
LMS,com.example.lms.model,BookReturn,0,55,0,0,0,23,0,10,0,10
LMS,com.example.lms.db,DbConnection,24,37,1,3,9,12,4,4,3,3
LMS,com.example.lms.db,DB,12,125,0,6,7,25,1,7,1,4
LMS,com.example.lms,HelloApplication,13,26,0,0,7,6,1,2,1,2
LMS,com.example.lms.services,PatronService,40,211,3,7,10,53,4,9,1,7
LMS,com.example.lms.services,BookReturnService,25,181,6,8,8,49,6,11,2,8
LMS,com.example.lms.services,BookIssueService,62,179,3,5,13,45,4,8,1,7
LMS,com.example.lms.services,BookSearchService,20,93,4,4,6,21,4,5,2,3
LMS,com.example.lms.services,BookService,45,196,2,8,13,53,4,11,2,8
